Package,Source,MD5sum,SHA256,Binary,Version,Maintainer,Build-Depends,Directory
libamgcl-dev,amgcl,7e108b12e154e805bb5d1742e39fceea,40b2915b84c6f41d47eb8474b8485a386aee1c923339adb8adce1d39310c1d75,"libamgcl-dev, python3-amgcl",1.4.3-5,Debian Science Maintainers <debian-science-maintainers@lists.alioth.debian.org>,"cmake, debhelper-compat (= 13), libboost-test-dev, libboost-serialization-dev, libboost-program-options-dev, libeigen3-dev, libviennacl-dev, libopenmpi-dev, libmetis-dev, libparmetis-dev, libblas-dev, libscotch-dev, libbz2-dev, libhwloc-dev, gfortran, dh-python, pybind11-dev, python3-dev:any, libpython3-dev, python3-numpy <!nocheck>, python3-scipy <!nocheck>",pool/contrib/a/amgcl
astrometry-data-2mass,astrometry-data-2mass,ad083db829e2d7837b56912c21ff76b3,bfe35f99be23b1e3e6be95b58a51285a025e39bb612e00328bfdba0025ff8ed4,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-00,astrometry-data-2mass,1a51ad538ca17d1113802820856dc4d5,36eafa5e9dbea55ecea5b2595f0d7c0a591e0831e20ac3ac98a239605074798a,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-01,astrometry-data-2mass,680bcea0a493b377697c522673c12689,33926578d72ac9778ab194706e2729195c7f1fd9a879061f458cb53f1861322a,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-02,astrometry-data-2mass,cb0d3e2576b8b62f2fa6e21baf81afb7,46737ffda40c58d38fcff0bd0f3edb45c9379351068116ec626e687e033a4213,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-03,astrometry-data-2mass,f380642aaaf10c7eca037bc4db4ebc6f,3c0b90ac3532fd9021d99e41086d89b519315dc5b6cc1850ec01a4841bab667e,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-04,astrometry-data-2mass,36257d0f6b86d0c58760bc922392327c,137bb6f8cbbacbe7c242a5197b31010bc4a092ac85f0a23cb3e6c3a09dd559d8,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-05,astrometry-data-2mass,88055f5bb4252229b61f524913e7f0c0,860567364225d69ca2757688c646c2b18bd42b535e1cb9c1e0a0e806096c5958,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-06,astrometry-data-2mass,f2db0f0a0745e6807d3d145810fab288,8a15bfd9dfd38e066702150002a7de466531d794d01c2de7852ed070545cd789,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-07,astrometry-data-2mass,266cc20cbc5f2f4cea4cb6eef0bb0398,c3e271e42fdca0d1b6a00cc8af6656f2f5e5730d3a708128bd89d8a5afe636f1,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
astrometry-data-2mass-08-19,astrometry-data-2mass,8bc269eea93ca04e21faf3c02b42ec68,b4221ddd4830c9ef5bd04493c7840251014936d70a11340e51e0b05c24b4d882,"astrometry-data-2mass-00, astrometry-data-2mass-01, astrometry-data-2mass-02, astrometry-data-2mass-03, astrometry-data-2mass-04, astrometry-data-2mass-05, astrometry-data-2mass-06, astrometry-data-2mass-07, astrometry-data-2mass-08-19, astrometry-data-2mass",1.1,Debian Astronomy Team <debian-astro-maintainers@lists.alioth.debian.org>,debhelper (>= 9),pool/contrib/a/astrometry-data-2mass
